SDR_geocode,SDR_name,DR_geocode,DR_name
2401023,Les Îles-de-la-Madeleine,2401,Communauté maritime des Îles-de-la-Madeleine
2401042,Grosse-Île,2401,Communauté maritime des Îles-de-la-Madeleine
2402005,Percé,2402,Le Rocher-Percé
2402010,Sainte-Thérèse-de-Gaspé,2402,Le Rocher-Percé
2402015,Grande-Rivière,2402,Le Rocher-Percé
2402028,Chandler,2402,Le Rocher-Percé
2402047,Port-Daniel--Gascons,2402,Le Rocher-Percé
2402902,Mont-Alexandre,2402,Le Rocher-Percé
2403005,Gaspé,2403,La Côte-de-Gaspé
2403010,Cloridorme,2403,La Côte-de-Gaspé
2403015,Petite-Vallée,2403,La Côte-de-Gaspé
2403020,Grande-Vallée,2403,La Côte-de-Gaspé
2403025,Murdochville,2403,La Côte-de-Gaspé
2403902,Rivière-Saint-Jean,2403,La Côte-de-Gaspé
2403904,Collines-du-Basque,2403,La Côte-de-Gaspé
2404005,Sainte-Madeleine-de-la-Rivière-Madeleine,2404,La Haute-Gaspésie
2404010,Saint-Maxime-du-Mont-Louis,2404,La Haute-Gaspésie
2404015,Mont-Saint-Pierre,2404,La Haute-Gaspésie
2404020,Rivière-à-Claude,2404,La Haute-Gaspésie
2404025,Marsoui,2404,La Haute-Gaspésie
2404030,La Martre,2404,La Haute-Gaspésie
2404037,Sainte-Anne-des-Monts,2404,La Haute-Gaspésie
2404047,Cap-Chat,2404,La Haute-Gaspésie
2404902,Mont-Albert,2404,La Haute-Gaspésie
2404904,Coulée-des-Adolphe,2404,La Haute-Gaspésie
2405010,Shigawake,2405,Bonaventure
2405015,Saint-Godefroi,2405,Bonaventure
2405020,Hope Town,2405,Bonaventure
2405025,Hope,2405,Bonaventure
2405032,Paspébiac,2405,Bonaventure
2405040,New Carlisle,2405,Bonaventure
2405045,Bonaventure,2405,Bonaventure
2405050,Saint-Elzéar,2405,Bonaventure
2405055,Saint-Siméon,2405,Bonaventure
2405060,Caplan,2405,Bonaventure
2405065,Saint-Alphonse,2405,Bonaventure
2405070,New Richmond,2405,Bonaventure
2405077,Cascapédia--Saint-Jules,2405,Bonaventure
2405902,Rivière-Bonaventure,2405,Bonaventure
2406005,Maria,2406,Avignon
2406013,Carleton-sur-Mer,2406,Avignon
2406020,Nouvelle,2406,Avignon
2406025,Escuminac,2406,Avignon
2406030,Pointe-à-la-Croix,2406,Avignon
2406035,Ristigouche-Partie-Sud-Est,2406,Avignon
2406040,Saint-André-de-Restigouche,2406,Avignon
2406045,Matapédia,2406,Avignon
2406050,Saint-Alexis-de-Matapédia,2406,Avignon
2406055,Saint-François-d'Assise,2406,Avignon
2406060,L'Ascension-de-Patapédia,2406,Avignon
2406802,Gesgapegiag,2406,Avignon
2406804,Listuguj,2406,Avignon
2406902,Rivière-Nouvelle,2406,Avignon
2406904,Ruisseau-Ferguson,2406,Avignon
2407005,Sainte-Marguerite-Marie,2407,La Matapédia
2407010,Sainte-Florence,2407,La Matapédia
2407018,Causapscal,2407,La Matapédia
2407025,Albertville,2407,La Matapédia
2407030,Saint-Léon-le-Grand,2407,La Matapédia
2407035,Saint-Zénon-du-Lac-Humqui,2407,La Matapédia
2407040,Sainte-Irène,2407,La Matapédia
2407047,Amqui,2407,La Matapédia
2407057,Lac-au-Saumon,2407,La Matapédia
2407065,Saint-Alexandre-des-Lacs,2407,La Matapédia
2407070,Saint-Tharcisius,2407,La Matapédia
2407075,Saint-Vianney,2407,La Matapédia
2407080,Val-Brillant,2407,La Matapédia
2407085,Sayabec,2407,La Matapédia
2407090,Saint-Cléophas,2407,La Matapédia
2407095,Saint-Moïse,2407,La Matapédia
2407100,Saint-Noël,2407,La Matapédia
2407105,Saint-Damase,2407,La Matapédia
2407902,Routhierville,2407,La Matapédia
2407904,Rivière-Vaseuse,2407,La Matapédia
2407906,Rivière-Patapédia-Est,2407,La Matapédia
2407908,Lac-Casault,2407,La Matapédia
2407910,Ruisseau-des-Mineurs,2407,La Matapédia
2407912,Lac-Alfred,2407,La Matapédia
2407914,Lac-Matapédia,2407,La Matapédia
2408005,Les Méchins,2408,La Matanie
2408010,Saint-Jean-de-Cherbourg,2408,La Matanie
2408015,Grosses-Roches,2408,La Matanie
2408023,Sainte-Félicité,2408,La Matanie
2408030,Saint-Adelme,2408,La Matanie
2408035,Saint-René-de-Matane,2408,La Matanie
2408040,Sainte-Paule,2408,La Matanie
2408053,Matane,2408,La Matanie
2408065,Saint-Léandre,2408,La Matanie
2408073,Saint-Ulric,2408,La Matanie
2408080,Baie-des-Sables,2408,La Matanie
2408902,Rivière-Bonjour,2408,La Matanie
2409005,La Rédemption,2409,La Mitis
