Year,Geography,GeoCode,Value
2020,Les Îles-de-la-Madeleine,2401023,10
2020,Grosse-Île,2401042,10
2020,Sainte-Thérèse-de-Gaspé,2402010,14
2020,Port-Daniel--Gascons,2402047,16
2020,Grande-Vallée,2403020,12
2020,Sainte-Madeleine-de-la-Rivière-Madeleine,2404005,28
2020,Saint-Maxime-du-Mont-Louis,2404010,19
2020,Shigawake,2405010,22
2020,Hope Town,2405020,18
2020,New Carlisle,2405040,18
2020,Saint-Elzéar,2405050,16
2020,Caplan,2405060,15
2020,Saint-Alphonse,2405065,14
2020,Cascapédia--Saint-Jules,2405077,10
2020,Maria,2406005,10
2020,Nouvelle,2406020,15
2020,Escuminac,2406025,18
2020,Pointe-à-la-Croix,2406030,20
2020,Matapédia,2406045,19
2020,Saint-Alexis-de-Matapédia,2406050,18
2020,Saint-François-d'Assise,2406055,20
2020,Sainte-Florence,2407010,27
2020,Lac-au-Saumon,2407057,13
2020,Saint-Vianney,2407075,29
2020,Val-Brillant,2407080,14
2020,Sayabec,2407085,20
2020,Les Méchins,2408005,25
2020,Grosses-Roches,2408015,29
2020,Sainte-Félicité,2408023,19
2020,Saint-René-de-Matane,2408035,18
2020,Saint-Ulric,2408073,13
2020,Baie-des-Sables,2408080,13
2020,Les Hauteurs,2409015,22
2020,Saint-Gabriel-de-Rimouski,2409025,19
2020,Sainte-Angèle-de-Mérici,2409035,18
2020,Padoue,2409040,17
2020,Sainte-Luce,2409092,11
2020,Esprit-Saint,2410005,26
2020,Saint-Clément,2411005,16
2020,Saint-Jean-de-Dieu,2411010,17
2020,Sainte-Rita,2411015,21
2020,Notre-Dame-des-Neiges,2411045,14
2020,Saint-Mathieu-de-Rioux,2411050,15
2020,Saint-Simon-de-Rimouski,2411055,14
2020,Saint-Cyprien,2412005,12
2020,Saint-Hubert-de-Rivière-du-Loup,2412010,12
2020,Saint-Antonin,2412015,8
2020,Saint-Modeste,2412020,7
2020,Saint-Épiphane,2412030,14
2020,L'Isle-Verte,2412043,16
2020,Cacouna,2412057,9
2020,Notre-Dame-du-Portage,2412080,9
2020,Rivière-Bleue,2413025,22
2020,Saint-Juste-du-Lac,2413040,20
2020,Auclair,2413045,17
2020,Biencourt,2413055,24
2020,Lac-des-Aigles,2413060,19
2020,Saint-Michel-du-Squatec,2413065,20
2020,Saint-Elzéar-de-Témiscouata,2413085,18
2020,Saint-Honoré-de-Témiscouata,2413090,16
2020,Saint-Athanase,2413100,16
2020,Mont-Carmel,2414005,16
2020,Saint-Bruno-de-Kamouraska,2414010,16
2020,Sainte-Hélène-de-Kamouraska,2414025,12
2020,Saint-Alexandre-de-Kamouraska,2414035,10
2020,Saint-André-de-Kamouraska,2414040,11
2020,Kamouraska,2414050,9
2020,Saint-Denis-De La Bouteillerie,2414055,11
2020,Rivière-Ouelle,2414065,9
2020,Saint-Pacôme,2414070,9
2020,Saint-Gabriel-Lalemant,2414075,13
2020,Saint-Onésime-d'Ixworth,2414080,14
2020,Notre-Dame-des-Monts,2415025,12
2020,Saint-Aimé-des-Lacs,2415030,8
2020,Saint-Siméon,2415058,15
2020,Petite-Rivière-Saint-François,2416005,8
2020,L'Isle-aux-Coudres,2416023,14
2020,Les Éboulements,2416048,10
2020,Saint-Omer,2417005,18
2020,Saint-Adalbert,2417015,18
2020,Saint-Marcel,2417020,17
2020,Sainte-Félicité,2417025,26
2020,Sainte-Perpétue,2417030,16
2020,Tourville,2417035,21
2020,Saint-Damase-de-L'Islet,2417040,17
2020,Saint-Aubert,2417055,12
2020,Saint-Roch-des-Aulnaies,2417065,10
2020,Saint-Jean-Port-Joli,2417070,13
2020,L'Islet,2417078,12
2020,Saint-Just-de-Bretenières,2418005,27
2020,Sainte-Lucie-de-Beauregard,2418020,20
2020,Saint-Paul-de-Montminy,2418030,20
2020,Sainte-Euphémie-sur-Rivière-du-Sud,2418035,21
2020,Notre-Dame-du-Rosaire,2418040,26
2020,Cap-Saint-Ignace,2418045,10
2020,Saint-François-de-la-Rivière-du-Sud,2418060,14
2020,Berthier-sur-Mer,2418065,8
2020,Armagh,2419037,19
2020,Saint-Nérée-de-Bellechasse,2419045,13
2020,Saint-Lazare-de-Bellechasse,2419050,11
2020,Sainte-Claire,2419055,9
2020,Saint-Anselme,2419062,9
2020,Saint-Henri,2419068,6
2020,Honfleur,2419070,9
2020,Saint-Gervais,2419075,9
2020,Saint-Raphaël,2419082,12
2020,Saint-Charles-de-Bellechasse,2419097,5
2020,Beaumont,2419105,5
2020,Saint-Michel-de-Bellechasse,2419110,7
2020,Saint-Vallier,2419117,9
2020,Saint-François-de-l'Île-d'Orléans,2420005,9
2020,Sainte-Famille-de-l'Île-d'Orléans,2420010,9
2020,Saint-Jean-de-l'Île-d'Orléans,2420015,9
2020,Saint-Laurent-de-l'Île-d'Orléans,2420020,5
2020,Saint-Pierre-de-l'Île-d'Orléans,2420025,6
2020,Saint-Tite-des-Caps,2421005,16
2020,Saint-Ferréol-les-Neiges,2421010,8
2020,L'Ange-Gardien,2421040,5
2020,Boischatel,2421045,3
2020,Saint-Gabriel-de-Valcartier,2422025,4
2020,Lac-Beauport,2422040,3
2020,Frampton,2426005,12
2020,Vallée-Jonction,2426015,8
2020,Saint-Elzéar,2426022,6
2020,Scott,2426048,7
2020,Saint-Bernard,2426055,7
2020,Saint-Isidore,2426063,8
2020,Saint-Lambert-de-Lauzon,2426070,6
2020,Saint-Victor,2427008,11
2020,Saint-Alfred,2427015,8
2020,Saint-Joseph-des-Érables,2427050,10
2020,Saint-Zacharie,2428005,12
2020,Sainte-Aurélie,2428015,13
2020,Saint-Prosper,2428020,10
2020,Saint-Benjamin,2428025,12
2020,Sainte-Rose-de-Watford,2428030,12
2020,Saint-Louis-de-Gonzague,2428035,15
2020,Sainte-Justine,2428045,11
2020,Lac-Etchemin,2428053,12
2020,Saint-Luc-de-Bellechasse,2428060,22
2020,Saint-Magloire,2428075,20
2020,Saint-Théophile,2429005,15
2020,Saint-Gédéon-de-Beauce,2429013,10
2020,Saint-Évariste-de-Forsyth,2429025,15
2020,Saint-Honoré-de-Shenley,2429038,13
2020,Saint-Côme--Linière,2429057,11
2020,Saint-Philibert,2429065,7
2020,Saint-Benoît-Labre,2429100,9
2020,Saint-Éphrem-de-Beauce,2429112,11
2020,Saint-Simon-les-Mines,2429125,7
2020,Notre-Dame-des-Bois,2430010,19
2020,Piopolis,2430020,18
2020,Frontenac,2430025,10
2020,Milan,2430040,19
2020,Nantes,2430045,13
2020,Sainte-Cécile-de-Whitton,2430050,11
2020,Audet,2430055,16
2020,Saint-Robert-Bellarmin,2430070,10
2020,Saint-Ludger,2430072,14
2020,Lac-Drolet,2430080,13
2020,Saint-Sébastien,2430085,12
2020,Courcelles,2430090,20
2020,Lambton,2430095,13
2020,Saint-Romain,2430100,14
2020,Stornoway,2430105,13
2020,Beaulac-Garthby,2431008,16
2020,Saint-Fortunat,2431030,30
2020,Saint-Julien,2431035,16
2020,Irlande,2431040,11
2020,Saint-Joseph-de-Coleraine,2431045,18
2020,Adstock,2431056,10
2020,Sainte-Clotilde-de-Beauce,2431060,14
2020,Saint-Adrien-d'Irlande,2431095,17
2020,Saint-Jean-de-Brébeuf,2431100,15
2020,Kinnear's Mills,2431105,10
2020,East Broughton,2431122,14
2020,Saint-Pierre-de-Broughton,2431135,13
2020,Saint-Jacques-de-Leeds,2431140,16
2020,Saint-Ferdinand,2432013,13
2020,Sainte-Sophie-d'Halifax,2432023,11
2020,Inverness,2432058,15
2020,Lyster,2432065,14
2020,Laurierville,2432072,14
2020,Villeroy,2432085,19
2020,Saint-Sylvestre,2433007,12
2020,Sainte-Agathe-de-Lotbinière,2433017,17
2020,Saint-Patrice-de-Beaurivage,2433025,7
2020,Saint-Gilles,2433035,10
2020,Dosquet,2433040,12
2020,Saint-Agapit,2433045,8
2020,Saint-Flavien,2433052,11
2020,Saint-Janvier-de-Joly,2433065,10
2020,Val-Alain,2433070,17
2020,Saint-Apollinaire,2433090,6
2020,Saint-Antoine-de-Tilly,2433095,7
2020,Sainte-Croix,2433102,13
2020,Lotbinière,2433115,12
2020,Leclercville,2433123,16
2020,Deschambault-Grondines,2434058,12
2020,Saint-Casimir,2434078,18
2020,Saint-Ubalde,2434090,16
2020,Saint-Alban,2434097,15
2020,Sainte-Christine-d'Auvergne,2434105,12
