Value,Disaggregation combinations using this value,Number of indicators
Abitibi-Ouest,14,1
Abitibi,9,1
Acton,3,1
Antoine-Labelle,14,1
Argenteuil,3,1
Arthabaska,13,1
Avignon,7,1
Beauce-Sartigan,9,1
Beauharnois-Salaberry,4,1
Bellechasse,13,1
Bonaventure,7,1
Brome-Missisquoi,11,1
Bécancour,8,1
Charlevoix-Est,3,1
Charlevoix,3,1
Coaticook,8,1
Communauté maritime des Îles-de-la-Madeleine,2,1
D'Autray,8,1
Deux-Montagnes,4,1
Drummond,11,1
Francheville,6,1
Joliette,6,1
Kamouraska,11,1
La Côte-de-Beaupré,4,1
La Côte-de-Gaspé,1,1
La Haute-Côte-Nord,6,1
La Haute-Gaspésie,2,1
La Haute-Yamaska,4,1
La Jacques-Cartier,2,1
La Matanie,6,1
La Matapédia,5,1
La Mitis,5,1
La Nouvelle-Beauce,7,1
La Rivière-du-Nord,2,1
La Tuque,1,1
La Vallée-de-la-Gatineau,13,1
La Vallée-de-l'Or,1,1
La Vallée-du-Richelieu,7,1
Lac-Saint-Jean-Est,9,1
Le Domaine-du-Roy,5,1
Le Granit,15,1
Le Haut-Richelieu,12,1
Le Haut-Saint-François,8,1
Le Haut-Saint-Laurent,8,1
Le Rocher-Percé,2,1
Le Saguenay-et-son-Fjord,11,1
Le Val-Saint-François,10,1
Les Appalaches,13,1
Les Basques,6,1
Les Collines-de-l'Outaouais,7,1
Les Etchemins,10,1
Les Jardins-de-Napierville,8,1
Les Laurentides,12,1
Les Maskoutains,13,1
Les Pays-d'en-Haut,4,1
Les Sources,3,1
L'Islet,11,1
Lotbinière,14,1
L'Érable,6,1
L'Île-d'Orléans,5,1
Manicouagan,1,1
Marguerite-D'Youville,2,1
Maria-Chapdelaine,7,1
Maskinongé,11,1
Matawinie,14,1
Memphrémagog,7,1
Minganie--Le Golfe-du-Saint-Laurent,9,1
Montcalm,9,1
Montmagny,8,1
Mékinac,3,1
Nicolet-Yamaska,11,1
Papineau,21,1
Pierre-De Saurel,7,1
Pontiac,12,1
Portneuf,7,1
Rimouski-Neigette,1,1
Rivière-du-Loup,8,1
Robert-Cliche,3,1
Roussillon,1,1
Rouville,5,1
Témiscamingue,11,1
Témiscouata,9,1
Vaudreuil-Soulanges,11,1
